movie_id,movie_name,director,writer,stars,description,poster,year_genre,total_weighted,num_ratings
68728,Oz the Great and Powerful,Sam Raimi,"L. Frank Baum, Mitchell Kapner","James Franco, Mila Kunis, Rachel Weisz","Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",movie_posters/68728.jpg,2013 | Fantasy/Adventure/Family | 2h 10m,39423.8,6682
34069,Cargo,Ivan Engler,"Arnold Bucher, Patrik Steinmann","Martin Rapold, Anna-Katharina Schwabroh, Regula Grauwiller",The story of CARGO takes place on rusty space-freighter KASSANDRA on its way to Station 42. The young medic LAURA is the only one awake on board while the rest of the crew lies frozen in hibernation sleep. In 4 months will Laura's shift be over.,movie_posters/34069.jpg,2009 | Thriller/Mystery/Science Fiction | 2h 0m,2419.0,410
823853,Cacciatori di dote,Mario Amendola,"Franco Castellano, Franco Castellano","Lauretta Masiero, Alberto Lionello, Aroldo Tieri",Manlio from Guatemala and Carlo the nobleman are both looking forward to settling down by marrying rich.,movie_posters/823853.jpg,1961 | Comedy | 1h 38m,0.0,0
1068775,Onigiri: Arcadia monogatari,Kōichi Saitō,"Kōichi Saitō, Tarô Ikeda","Yuki Yoshinaga, Anri Oonuki, Chieko Matsubara","A couple flees Tokyo, their family and friends. The girlfriend is a member of a rock band. She is dating the man, but friends and family are against it compelling her to move away. They stay at an inn in an area in which they know no one. One inn employee finds out about their dilemma and introduces them to a local farmer who offers them work and a home.",movie_posters/1068775.jpg,2004 | Drama | 2h 0m,4.0,2
9373,The Texas Chainsaw Massacre,Marcus Nispel,"Tobe Hooper, Kim Henkel","Jessica Biel, Jonathan Tucker, Andrew Bryniarski","After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a chainsaw-wielding killer and his family of equally psychopathic killers.",movie_posters/9373.jpg,2003 | Horror | 1h 38m,17614.8,2796
